search_term,Unique User Count,Result Count,No Results Count,No Result Percentage,Using Autocomplete,Using Free Text
"delphinium assorted belladonna (blue, light blue)",3,0,3,1,2,1
asclepias,2,0,3,1,0,3
stock white,18,37,3,0.10714285714285714,24,15
hydragnea,2,0,3,1,0,3
dephinium,3,0,3,1,0,3
garden roses free spirit,12,15,3,0.1875,17,1
scabiosia,3,0,3,1,1,2
anthurium green,5,5,3,0.42857142857142855,8,0
"foxglove ",3,0,3,1,1,1
foam,3,0,3,1,0,2
larkspur white,8,9,3,0.25,6,3
similax,3,0,3,1,0,2
"forgetmenot ",3,0,3,1,3,0
wild flowers,4,1,3,0.75,0,3
lisiathus,3,0,3,1,0,3
silverdollar,3,0,3,1,0,3
ameranthus,3,1,3,0.75,0,1
orchid,32,49,3,0.06666666666666667,0,33
garden roses georgia peach,2,1,3,0.75,3,1
corsage,4,1,3,0.75,0,2
dried and preserved flowers eucalyptus silver dollar,3,0,3,1,2,1
caranations,3,0,3,1,0,3
consumer bunch sunflower sunbright extra 3 stems,3,2,3,0.6,5,0
ruscus israeli,7,7,3,0.3333333333333333,8,2
vendella,3,0,3,1,0,2
gerbers,3,0,3,1,0,3
matricaria (feverfew) single (vegmo),5,4,3,0.5,7,0
averie,2,0,3,1,0,3
delphium,3,0,3,1,0,3
baker,3,0,3,1,1,2
rununculus,3,0,3,1,0,1
babysbreath,2,1,3,0.6666666666666666,1,1
strelitzia birds of paradise,6,9,3,0.3,10,0
lizianthus,2,0,3,1,1,2
ranculus,3,0,3,1,0,3
white rose,43,61,3,0.045454545454545456,0,39
roses playa blanca (sometimes have subtle blush hints),14,19,3,0.16666666666666666,22,0
hydrangea,124,255,3,0.012376237623762377,0,183
dahila,2,0,3,1,1,1
ruscus,45,74,3,0.046153846153846156,0,44
buplerum,3,0,3,1,0,3
alium,3,0,3,1,0,2
runner,3,0,3,1,0,2
phalaenopsis white (6 blooms),7,5,3,0.375,7,1
forgetmenot,3,0,3,1,1,0
twedia,3,0,3,1,1,1
eucalptus,3,0,3,1,0,3
gerbera,19,25,3,0.13043478260869565,0,21
deloh,3,0,3,1,0,3
bachelor buttons,3,0,3,1,1,2
hydrangea antique green,5,4,3,0.42857142857142855,5,0
larspur,3,0,3,1,0,3
caranation,3,0,3,1,0,2
orleya,2,0,3,1,0,3
"peony aa (35mm), aaa (40mm) assorted",11,14,3,0.1875,16,1
dara,3,0,3,1,0,3
garden roses pink ohara *fragrance*,6,6,3,0.375,8,1
lillys,2,0,3,1,0,2
chyrsanthemum,3,0,3,1,1,2
playablanca,3,0,3,1,0,3
boquet,3,0,3,1,0,1
lisianthua,3,0,3,1,1,2
larkspur assorted,3,0,3,1,3,0
ranuncukus,3,0,3,1,0,2
astillbe,3,0,3,1,0,2
thisle,3,0,3,1,0,2
ranunuclus,3,0,3,1,0,3
ofea,3,0,3,1,0,3
"clematis ",3,0,3,1,0,2
pittisporum,3,0,3,1,0,3
plumeria,4,1,3,0.75,0,3
myra,3,0,3,1,0,3
"tweedia assorted (white, blue)",4,2,3,0.75,5,0
roses tibet,13,25,3,0.13043478260869565,27,1
scabiosa blackberry scoop,2,0,2,1,2,0
salvia,2,0,2,1,0,2
cloney,2,0,2,1,0,2
spirea,8,11,2,0.15384615384615385,1,5
larkpur,2,0,2,1,0,2
snspdragons,2,0,2,1,1,1
feathers,2,0,2,1,0,2
carnation altair,3,1,2,0.6666666666666666,3,0
hydrangea alondra rose dutch pink extra,2,2,2,0.5,3,0
poppys,2,0,2,1,0,2
"sweet peas spring assorted (white, pastel colors only)",3,1,2,0.6666666666666666,3,0
spray roses snowflake,2,0,2,1,1,1
scabioa,2,0,2,1,0,2
montmarte,2,0,2,1,0,2
taupe,2,0,2,1,0,2
matricia,2,0,2,1,0,1
basil,2,0,2,1,0,2
hydrangea dark green mini,3,3,2,0.4,4,1
freespirit,2,0,2,1,0,2
tuberose,3,3,2,0.5,0,2
caladium,2,0,2,1,0,2
springeri,2,0,2,1,0,2
scabiousa,2,0,2,1,0,2
dianthys,1,0,2,1,0,2
baptisia,3,1,2,0.6666666666666666,0,2
anemone bicolor white -blush shade,3,3,2,0.4,4,1
plants,2,0,2,1,0,1
eucalyptus seeded,3,4,2,0.3333333333333333,6,0
tibey,2,0,2,1,0,2
"cremone ",2,0,2,1,1,1
david austin garden roses juliet,14,21,2,0.10526315789473684,23,0
carnatino,2,0,2,1,0,2
authorium,1,0,2,1,0,2
"garlands gyp babys breath (6 ft long, 6-8 in width) ",2,0,2,1,1,1
peony assorted (min bud 1.18 inch_2-4 inch bloom),2,0,2,1,2,0
eucalyptus silver dollar,5,4,2,0.4,6,0
peegee,2,0,2,1,0,2
lissianthus,2,0,2,1,0,2
haydrangea,1,0,2,1,0,2
tweedie,2,0,2,1,0,2
bouqet,2,0,2,1,0,2
florena,2,0,2,1,0,2
lisianthus double brillianthus misty blue,2,0,2,1,2,0
david austin garden roses bessie (blush - peach),2,0,2,1,2,0
cockscomb,2,1,2,0.6666666666666666,0,1
altro,2,0,2,1,0,2
edelweiss,1,0,2,1,0,2
cremon,15,20,2,0.09523809523809523,0,19
commodore,2,0,2,1,0,2
anturium,2,0,2,1,0,2
"hellebores ",2,2,2,0.6666666666666666,0,1
eufloria,2,0,2,1,1,1
romancery,1,0,2,1,0,2
koko,2,0,2,1,1,1
carnation alibaba,3,2,2,0.5,4,0
"eucalyptus assorted (35 feather, silver dollar)",2,0,2,1,1,1
roses barista,5,7,2,0.25,8,0
myosotis,2,0,2,1,1,1
zenia,2,0,2,1,0,2
anthuriums,2,0,2,1,0,2
chammomile,2,0,2,1,0,2
dianthus sweet william green trick,3,2,2,0.5,3,1
rose,60,136,2,0.018691588785046728,0,92
raununculus,2,0,2,1,0,2
roses aly,3,6,2,0.1,8,0
"lisianthus ",2,2,2,0.3333333333333333,0,3
zinnia,6,11,2,0.16666666666666666,0,5
eucaluptus,2,0,2,1,0,2
star thistle eryngium,3,2,2,0.5,4,0
hyndrangea,2,0,2,1,0,2
dianthus green ball,2,0,2,1,1,1
garlands ruscus israeli 15ft/ box,3,1,2,0.6666666666666666,2,1
calla,34,59,2,0.037037037037037035,0,44
chrysanthumum,1,0,2,1,0,2
" lillies",2,0,2,1,1,0
roses mother of pearl,2,3,2,0.4,5,0
eucalytpus,2,0,2,1,0,2
gerpom,2,0,2,1,0,2
bells of ireland molucella,5,10,2,0.16666666666666666,11,1
snapadragon,2,0,2,1,0,2
violas,1,1,2,0.6666666666666666,0,0
creon,2,0,2,1,0,2
garden roses candlelight (white to cream with greenish tips),2,11,2,0.2,12,1
pionies,1,0,2,1,0,2
"roses ",9,21,2,0.09090909090909091,0,15
fressia,2,0,2,1,1,1
bouvardia,4,26,2,0.4,0,28
solomino,2,0,2,1,0,1
spay roses,1,78,2,0.034482758620689655,0,0
"spray roses california rose farmstand box lavender assorted ",2,0,2,1,1,0
strawflowers,2,1,2,0.6666666666666666,0,3
roses applause,2,0,2,1,2,0
roses mondial,6,11,2,0.2,13,0
waxflowers,2,0,2,1,0,2
campunula,2,0,2,1,1,1
ranunculus amandine white,2,0,2,1,2,0
amarylis,2,0,2,1,1,1
callalily,1,0,2,1,0,2
clooney,7,7,2,0.25,0,8
"gerbera large flowered  large, mini assorted (40-50 cm)",2,1,2,0.75,2,0
dahalia,2,0,2,1,0,2
zinna,2,0,2,1,0,2
bottlebrush,1,0,2,1,0,1
pittosporum silver queen,4,2,2,0.5,3,1
ranunulus,2,0,2,1,0,2
hypericum,9,12,2,0.14285714285714285,0,11
lisisanthus,1,0,2,1,0,2
mgf,2,0,2,1,0,1
peonu,2,0,2,1,0,2
roses miss piggy,2,0,2,1,1,1
selection shortlist,3,5,2,0.25,0,7
lemonleaf,2,0,2,1,0,2
anthirum,2,0,2,1,0,2
phalenopsis,2,0,2,1,0,2
"alstromeria ",2,1,2,0.6666666666666666,1,2
ranunculus amandine assorted,3,1,2,0.6666666666666666,3,0
monstera deliciosa bicolor m (12 inch diameter),2,0,2,1,2,0
lavender roses,2,1,2,0.75,0,1
"garden spray roses be loving ",2,4,2,0.4,6,0
carnation babylon,2,3,2,0.4444444444444444,5,0
simlax,2,0,2,1,0,1
dried and preserved flowers strawflower pink,2,1,2,0.6666666666666666,3,0
canterbury,1,0,2,1,0,2
ranunculus elegance peach (peach/ pinkish),4,3,2,0.4,4,1
